title,price,images
10 Piece Black Oval Brush Set,19.98,"[{'url': 'https://techinstr.myshopify.com/cdn/shop/products/product-image-682628474_530x@2x.jpg?v=1574584859', 'path': 'full/10-piece-black-oval-brush-set.jpg', 'checksum': '85515b83ef0117ee9470e5aed512f607', 'status': 'downloaded'}]"
24 inch Confetti Balloons Party Clear Transparent ConfettiBalloons for Birthday Wedding Graduation Decoration,2.14,"[{'url': 'https://techinstr.myshopify.com/cdn/shop/products/product-image-809470741_530x@2x.jpg?v=1574584859', 'path': 'full/24-inch-confetti-balloons-party-clear-transparent-confettiballoons-for-birthday-wedding-graduation-decoration.jpg', 'checksum': 'c569fa6ad4e7e5c798d924e6eef01def', 'status': 'downloaded'}]"
2-Pack Easy Microwave Egg Cooker,9.98,"[{'url': 'https://techinstr.myshopify.com/cdn/shop/products/product-image-682666773_530x@2x.jpg?v=1574584859', 'path': 'full/2-pack-easy-microwave-egg-cooker.jpg', 'checksum': '8e6fc0816d215f9b6cac1549ea819a2b', 'status': 'downloaded'}]"
2.5L Ice Core Beer Dispenser Beverage Machine Ice Tube for Wine Alcohol Juice Soft Drink,120.48,"[{'url': 'https://techinstr.myshopify.com/cdn/shop/products/product-image-535054882_530x@2x.jpg?v=1574584857', 'path': 'full/2-5l-ice-core-beer-dispenser-beverage-machine-ice-tube-for-wine-alcohol-juice-soft-drink.jpg', 'checksum': 'f97a464b16d285a4704768b2ee1a718e', 'status': 'downloaded'}]"
1xPlastic Manual Balloon Pump Inflator Air Pillow for Party Decor Random Color,1.80,"[{'url': 'https://techinstr.myshopify.com/cdn/shop/products/product-image-847995711_530x@2x.jpg?v=1574584858', 'path': 'full/1xplastic-manual-balloon-pump-inflator-air-pillow-for-party-decor-random-color.jpg', 'checksum': '6d124ad30de3048c5b0e83f625798927', 'status': 'downloaded'}]"
2016 women summer fashion chest wrap lace dress long sexy leak back beach dress,21.70,"[{'url': 'https://techinstr.myshopify.com/cdn/shop/products/product-image-808372475_530x@2x.jpg?v=1574584859', 'path': 'full/2016-women-summer-fashion-chest-wrap-lace-dress-long-sexy-leak-back-beach-dress.jpg', 'checksum': '86915e50bb68693156c217ed9f9280e4', 'status': 'downloaded'}]"
2017 Fashion Watch Women PU Leather Quartz Wrist Watches Hour montre femme relogio feminino Dress Watch Lady #23,3.34,"[{'url': 'https://techinstr.myshopify.com/cdn/shop/products/product-image-431707958_530x@2x.jpg?v=1574584858', 'path': 'full/2017-fashion-watch-women-pu-leather-quartz-wrist-watches-hour-montre-femme-relogio-feminino-dress-watch-lady-23.jpg', 'checksum': '118db28c33b8958becb801dded697741', 'status': 'downloaded'}]"
2-strip Velocity Elastic Elastica Bungee Rubber Band for Slingshot Catapult Hunting,0.00,"[{'url': 'https://techinstr.myshopify.com/cdn/shop/products/product-image-788094515_a6507346-6a1b-4e56-8d50-b783987c0079_530x@2x.jpg?v=1574584861', 'path': 'full/2-strip-velocity-elastic-elastica-bungee-rubber-band-for-slingshot-catapult-hunting.jpg', 'checksum': 'ecd263ca3be7f219ffe0ac779ce9e4bd', 'status': 'downloaded'}]"
title,price,images
